LEY DE REPARACIÓN, LEY Nº19.992 (VALECH);;;;;;;;;;;
 Noviembre 2023;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;
;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna; Nº Hombre; Mto.Hombre;Nº Mujer; Mto.Mujer; Nº; Monto m$;;;
6;6115;RENGO;49;12.851;16;3.422;65;16.273;;;
6;6116;REQUINOA;11;2.965;5;1.018;16;3.984;;;
6;6117;SAN VICENTE;92;24.368;41;9.122;133;33.490;;;
6;6201;PICHILEMU;23;6.023;12;2.514;35;8.536;;;
6;6202;LA ESTRELLA;3;819;0;0;3;819;;;
6;6203;LITUECHE;0;0;0;0;0;0;;;
6;6204;MARCHIHUE;0;0;0;0;0;0;;;
6;6205;NAVIDAD;1;242;1;212;2;455;;;
6;6206;PAREDONES;0;0;0;0;0;0;;;
6;6301;SAN FERNANDO;49;12.933;31;6.916;80;19.849;;;
6;6302;CHEPICA;0;0;0;0;0;0;;;
6;6303;CHIMBARONGO;8;2.111;2;394;10;2.506;;;
6;6304;LOLOL;0;0;0;0;0;0;;;
6;6305;NANCAGUA;18;4.731;3;594;21;5.325;;;
6;6306;PALMILLA;1;265;1;182;2;447;;;
6;6307;PERALILLO;6;1.602;3;702;9;2.304;;;
6;6308;PLACILLA;1;242;0;0;1;242;;;
6;6309;PUMANQUE;0;0;0;0;0;0;;;
6;6310;SANTA CRUZ;65;17.376;23;4.662;88;22.038;;;
7;7101;TALCA;240;63.315;92;20.964;332;84.279;;;
7;7102;CONSTITUCION;39;10.478;23;4.962;62;15.439;;;
7;7103;CUREPTO;2;542;2;394;4;937;;;
7;7104;EMPEDRADO;1;277;1;212;2;490;;;
7;7105;MAULE;2;542;1;212;3;755;;;
7;7106;PELARCO;1;242;0;0;1;242;;;
7;7107;PENCAHUE;0;0;0;0;0;0;;;
7;7108;RIO CLARO;0;0;1;212;1;212;;;
7;7109;SAN CLEMENTE;11;2.933;6;1.369;17;4.302;;;
7;7110;SAN RAFAEL;1;277;1;199;2;476;;;
7;7201;CAUQUENES;33;8.794;14;2.990;47;11.783;;;
7;7202;CHANCO;4;1.004;1;242;5;1.246;;;
7;7203;PELLUHUE;2;555;1;242;3;797;;;
7;7301;CURICO;173;45.576;88;19.775;261;65.351;;;
7;7302;HUALAÑE;0;0;1;242;1;242;;;
7;7303;LICANTEN;5;1.327;5;1.071;10;2.397;;;
7;7304;MOLINA;19;5.044;6;1.261;25;6.304;;;
7;7305;RAUCO;1;277;0;0;1;277;;;
7;7306;ROMERAL;1;277;0;0;1;277;;;
7;7307;SAGRADA FAMILIA;1;277;0;0;1;277;;;
7;7308;TENO;2;542;1;199;3;741;;;
7;7309;VICHUQUEN;0;0;0;0;0;0;;;
7;7401;LINARES;147;39.022;73;16.694;220;55.716;;;
7;7402;COLBUN;0;0;2;490;2;490;;;
7;7403;LONGAVI;5;1.281;3;563;8;1.845;;;
7;7404;PARRAL;34;9.046;17;3.839;51;12.885;;;
7;7405;RETIRO;0;0;0;0;0;0;;;
7;7406;SAN JAVIER;26;6.888;10;2.210;36;9.097;;;
7;7407;VILLA ALEGRE;1;277;2;425;3;702;;;
7;7408;YERBAS BUENAS;2;542;0;0;2;542;;;
16;16101;CHILLAN;346;91.646;161;35.898;507;127.545;;;
16;16102;BULNES;22;5.888;10;2.149;32;8.037;;;
16;16103;CHILLAN VIEJO;0;0;1;182;1;182;;;
16;16104;EL CARMEN;5;1.362;2;447;7;1.809;;;
16;16105;PEMUCO;0;0;2;411;2;411;;;
16;16106;PINTO;1;265;0;0;1;265;;;
16;16107;QUILLON;3;832;1;182;4;1.014;;;
16;16108;SAN IGNACIO;2;555;0;0;2;555;;;
16;16109;YUNGAY;14;3.845;8;1.721;22;5.566;;;
16;16201;QUIRIHUE;20;5.226;4;875;24;6.102;;;
16;16202;COBQUECURA;2;555;1;212;3;767;;;
16;16203;COELEMU;11;2.933;8;1.685;19;4.618;;;
16;16204;NINHUE;0;0;0;0;0;0;;;
16;16205;PORTEZUELO;0;0;0;0;0;0;;;
16;16206;RANQUIL;1;277;1;212;2;490;;;
16;16207;TREHUACO;0;0;0;0;0;0;;;
16;16301;SAN CARLOS;30;7.997;15;3.233;45;11.229;;;
16;16302;COIHUECO;6;1.616;4;819;10;2.436;;;
16;16303;ÑIQUEN;0;0;0;0;0;0;;;
16;16304;SAN FABIAN;1;242;0;0;1;242;;;
16;16305;SAN NICOLAS;1;242;0;0;1;242;;;
8;8101;CONCEPCION;487;127.065;228;52.539;715;179.605;;;
8;8102;CORONEL;82;21.167;39;8.556;121;29.723;;;
8;8103;CHIGUAYANTE;48;12.528;21;4.674;69;17.203;;;
8;8104;FLORIDA;4;1.084;2;411;6;1.496;;;
8;8105;HUALQUI;2;485;4;901;6;1.385;;;
8;8106;LOTA;130;33.499;39;8.551;169;42.050;;;
8;8107;PENCO;31;8.097;16;3.413;47;11.510;;;
8;8108;SAN PEDRO DE LA PAZ;63;16.319;19;4.131;82;20.449;;;
8;8109;SANTA JUANA;6;1.581;0;0;6;1.581;;;
8;8110;TALCAHUANO;141;36.835;57;12.746;198;49.581;;;
8;8111;TOME;43;11.447;31;6.746;74;18.192;;;
8;8112;HUALPEN;44;11.440;26;5.718;70;17.158;;;
8;8201;LEBU;30;7.914;11;2.492;41;10.406;;;
8;8202;ARAUCO;16;4.304;4;823;20;5.127;;;
8;8203;CAÑETE;39;10.247;10;2.271;49;12.518;;;
8;8204;CONTULMO;1;277;0;0;1;277;;;
8;8205;CURANILAHUE;41;10.762;10;2.132;51;12.894;;;
8;8206;LOS ALAMOS;6;1.581;3;594;9;2.175;;;
8;8207;TIRUA;7;1.869;2;441;9;2.310;;;
8;8301;LOS ANGELES;166;43.919;104;22.550;270;66.469;;;
8;8302;ANTUCO;0;0;0;0;0;0;;;
8;8303;CABRERO;20;5.344;7;1.446;27;6.790;;;
8;8304;LAJA;18;4.812;10;2.354;28;7.165;;;
8;8305;MULCHEN;21;5.608;6;1.442;27;7.051;;;
8;8306;NACIMIENTO;10;2.736;6;1.378;16;4.113;;;
8;8307;NEGRETE;2;542;1;242;3;784;;;
8;8308;QUILACO;0;0;0;0;0;0;;;
8;8309;QUILLECO;2;555;1;182;3;737;;;
8;8310;SAN ROSENDO;0;0;0;0;0;0;;;
8;8311;SANTA BARBARA;12;3.255;8;1.655;20;4.910;;;
8;8312;TUCAPEL;3;819;1;182;4;1.002;;;
8;8313;YUMBEL;20;5.399;10;2.183;30;7.582;;;
8;8314;ALTO BIO BIO;1;277;0;0;1;277;;;
9;9101;TEMUCO;413;107.983;194;44.074;607;152.056;;;
9;9102;CARAHUE;20;5.331;9;1.885;29;7.216;;;
9;9103;CUNCO;6;1.591;2;507;8;2.099;;;
9;9104;CURARREHUE;0;0;0;0;0;0;;;
9;9105;FREIRE;3;772;3;624;6;1.396;;;
9;9106;GALVARINO;0;0;1;277;1;277;;;
9;9107;GORBEA;3;819;5;1.161;8;1.981;;;
9;9108;LAUTARO;37;9.565;30;6.872;67;16.437;;;
9;9109;LONCOCHE;23;6.068;5;1.035;28;7.104;;;
9;9110;MELIPEUCO;0;0;0;0;0;0;;;
9;9111;NUEVA IMPERIAL;23;6.116;24;5.395;47;11.511;;;
9;9112;PADRE LAS CASAS;8;2.076;5;1.062;13;3.138;;;
9;9113;PERQUENCO;1;242;1;212;2;455;;;
9;9114;PITRUFQUEN;20;5.379;10;2.170;30;7.548;;;
9;9115;PUCON;16;4.232;7;1.447;23;5.679;;;
9;9116;PUERTO SAAVEDRA;4;1.062;6;1.231;10;2.292;;;
9;9117;TEODORO SCHMIDT;1;265;0;0;1;265;;;
9;9118;TOLTEN;6;1.569;0;0;6;1.569;;;
9;9119;VILCUN;11;2.955;5;1.126;16;4.082;;;
9;9120;VILLARRICA;60;15.514;25;6.185;85;21.698;;;
9;9121;CHOLCHOL;2;555;0;0;2;555;;;
9;9201;ANGOL;42;11.227;24;5.214;66;16.442;;;
9;9202;COLLIPULLI;10;2.643;6;1.261;16;3.904;;;
9;9203;CURACAUTIN;9;2.401;8;1.869;17;4.269;;;
9;9204;ERCILLA;0;0;2;364;2;364;;;
9;9205;LONQUIMAY;4;1.014;2;441;6;1.456;;;
9;9206;LOS SAUCES;0;0;1;212;1;212;;;
9;9207;LUMACO;1;242;3;577;4;819;;;
9;9208;PUREN;3;832;5;1.054;8;1.886;;;
9;9209;RENAICO;1;265;0;0;1;265;;;
9;9210;TRAIGUEN;23;6.140;14;3.042;37;9.183;;;
9;9211;VICTORIA;57;14.766;25;5.422;82;20.188;;;
14;14101;VALDIVIA;272;70.278;121;26.820;393;97.098;;;
14;14102;CORRAL;0;0;0;0;0;0;;;
14;14103;LANCO;12;3.183;7;1.382;19;4.565;;;
14;14104;LOS LAGOS;16;4.304;7;1.396;23;5.700;;;
14;14105;MAFIL;1;265;0;0;1;265;;;
14;14106;SAN JOSE DE LA MARIQUINA;22;5.898;13;2.969;35;8.867;;;
14;14107;PAILLACO;12;3.160;4;793;16;3.953;;;
14;14108;PANGUIPULLI;51;13.265;24;5.143;75;18.408;;;
14;14201;LA UNION;28;7.362;21;4.334;49;11.696;;;
14;14202;FUTRONO;22;5.933;6;1.360;28;7.294;;;
14;14203;LAGO RANCO;1;242;5;1.054;6;1.296;;;
14;14204;RIO BUENO;22;5.725;23;5.256;45;10.981;;;
10;10101;PUERTO MONTT;173;44.839;96;21.762;269;66.601;;;
10;10102;CALBUCO;13;3.370;1;182;14;3.552;;;
10;10103;COCHAMO;0;0;0;0;0;0;;;
10;10104;FRESIA;15;3.889;10;2.418;25;6.307;;;
10;10105;FRUTILLAR;12;3.117;5;988;17;4.105;;;
10;10106;LOS MUERMOS;5;1.349;3;546;8;1.895;;;
10;10107;LLANQUIHUE;6;1.651;8;1.720;14;3.371;;;
10;10108;MAULLIN;6;1.511;1;212;7;1.724;;;
10;10109;PUERTO VARAS;29;7.658;15;3.394;44;11.052;;;
10;10201;CASTRO;53;13.898;30;6.458;83;20.356;;;
10;10202;ANCUD;24;6.413;10;2.271;34;8.685;;;
10;10203;CHONCHI;5;1.304;3;702;8;2.006;;;
10;10204;CURACO DE VELEZ;0;0;0;0;0;0;;;
10;10205;DALCAHUE;1;277;2;459;3;737;;;
10;10206;PUQUELDON;0;0;0;0;0;0;;;
10;10207;QUEILEN;0;0;0;0;0;0;;;
10;10208;QUELLON;4;1.027;3;577;7;1.603;;;
10;10209;QUEMCHI;0;0;0;0;0;0;;;
10;10210;QUINCHAO;2;507;1;212;3;720;;;
10;10301;OSORNO;187;48.859;98;22.398;285;71.256;;;
10;10302;PUERTO OCTAY;2;555;5;1.083;7;1.638;;;
10;10303;PURRANQUE;8;2.076;5;1.114;13;3.190;;;
10;10304;PUYEHUE;3;819;1;212;4;1.032;;;
10;10305;RIO NEGRO;15;3.794;4;841;19;4.636;;;
10;10306;SAN JUAN DE LA COSTA;0;0;0;0;0;0;;;
10;10307;SAN PABLO;0;0;0;0;0;0;;;
10;10401;CHAITEN;4;1.074;7;1.625;11;2.699;;;
10;10402;FUTALEUFU;0;0;1;182;1;182;;;
10;10403;HUALAIHUE;0;0;0;0;0;0;;;
10;10404;PALENA;1;242;0;0;1;242;;;
11;11101;COYHAIQUE;73;19.474;27;5.984;100;25.459;;;
11;11102;LAGO VERDE;0;0;0;0;0;0;;;
11;11201;PUERTO AYSEN;18;4.836;22;4.604;40;9.440;;;
11;11202;CISNES;2;507;3;594;5;1.101;;;
11;11203;GUAITECAS;0;0;0;0;0;0;;;
11;11301;COCHRANE;0;0;0;0;0;0;;;
11;11302;O'HIGGINS;0;0;0;0;0;0;;;
11;11303;TORTEL;0;0;0;0;0;0;;;
11;11401;CHILE CHICO;6;1.581;6;1.304;12;2.885;;;
11;11402;RIO IBAÑEZ;0;0;1;212;1;212;;;
12;12101;PUNTA ARENAS;183;46.980;81;18.329;264;65.308;;;
12;12102;LAGUNA BLANCA;0;0;0;0;0;0;;;
12;12103;RIO VERDE;0;0;0;0;0;0;;;
12;12104;SAN GREGORIO;0;0;0;0;0;0;;;
12;12201;CABO DE HORNOS;0;0;0;0;0;0;;;
12;12202;ANTARTICA;0;0;0;0;0;0;;;
12;12301;PORVENIR;5;1.327;1;212;6;1.539;;;
12;12302;PRIMAVERA;0;0;0;0;0;0;;;
12;12303;TIMANKEL;0;0;0;0;0;0;;;
12;12401;PUERTO NATALES;13;3.392;13;2.843;26;6.236;;;
12;12402;TORRES DEL PAINE;0;0;0;0;0;0;;;
13;13101;SANTIAGO;1.485;385.910;651;156.314;2.136;542.225;;;
13;13102;CERRILLOS;21;5.376;18;3.853;39;9.228;;;
